plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
442,51882,497,'26',Decimal('497784404718938112'),125.78484,51.391837,20.11,0.358786,3.30E-05,0,'QSO','STARBURST BROADLINE'
442,51882,572,'26',Decimal('497805020561958912'),127.00896,51.825163,33.73,0.35549,8.00E-05,0,'QSO','BROADLINE'
444,51883,496,'26',Decimal('500035929671493632'),128.22009,52.943854,28.16,0.788709,0.000111,0,'QSO','BROADLINE'
447,51877,18,'26',Decimal('503282237651838976'),132.76238,51.411806,28.09,0.405092,3.90E-05,0,'QSO','BROADLINE'
470,51929,324,'26',Decimal('529262049021159424'),135.30019,1.263745,30.72,0.780114,0.000103,0,'QSO','BROADLINE'
541,51959,534,'26',Decimal('609258667270760448'),115.22521,33.335146,61.46,0.886255,6.50E-05,0,'QSO','BROADLINE'
546,52205,265,'26',Decimal('614814228775200768'),122.27707,41.659044,37.84,1.22271,0.000172,0,'QSO','BROADLINE'
549,51981,636,'26',Decimal('618293904441108480'),130.12488,46.85383,39.06,1.57479,0.000218,0,'QSO','BROADLINE'
550,51959,85,'26',Decimal('619268346252126208'),130.12488,46.85383,45.21,1.57464,0.000176,0,'QSO','BROADLINE'
550,51959,383,'26',Decimal('619350259868395520'),128.8549,48.448991,29.67,1.3023,8.90E-05,0,'QSO','BROADLINE'
551,51993,68,'26',Decimal('620389573804976128'),134.54652,49.602775,31.35,0.17715,2.70E-05,0,'QSO','BROADLINE'
564,52224,395,'26',Decimal('635116161545037824'),130.27832,3.201904,71.66,1.839,0.000265,0,'QSO','BROADLINE'
755,52235,442,'26',Decimal('850175963198154752'),115.99282,32.586815,38.95,0.901805,0.000271,0,'QSO','BROADLINE'
757,52238,474,'26',Decimal('852436559155193856'),119.86301,36.575411,13.24,0.98234,0.000226,0,'QSO','BROADLINE'
762,52232,550,'26',Decimal('858086949309671424'),129.85401,44.351678,19.27,0.994682,0.000301,0,'QSO','BROADLINE'
764,52238,4,'26',Decimal('860188665886828544'),134.85147,46.621458,42.56,0.923808,0.000132,0,'QSO','BROADLINE'
764,52238,299,'26',Decimal('860269754869377024'),133.02563,46.84737,17.11,0.359645,2.70E-05,0,'QSO','STARBURST BROADLINE'
826,52295,573,'26',Decimal('930150866596423680'),126.28198,36.069767,38.44,1.57855,0.000117,0,'QSO','BROADLINE'
827,52312,388,'26',Decimal('931225914375694336'),126.41554,37.881151,32.96,1.31194,0.000199,0,'QSO','BROADLINE'
862,52325,379,'26',Decimal('970629937432127488'),125.58125,34.012484,39.23,0.725364,4.10E-05,0,'QSO','BROADLINE'
864,52320,286,'26',Decimal('972856173516580864'),128.57135,35.809213,35.65,2.15817,0.000258,0,'QSO','BROADLINE'
864,52320,301,'26',Decimal('972860296685185024'),128.51044,36.663538,33.48,0.944693,0.00018,0,'QSO','BROADLINE'
896,52592,471,'26',Decimal('1008935827511732224'),131.22319,42.962435,18.12,0.344358,5.50E-05,0,'QSO','BROADLINE'
930,52618,135,'26',Decimal('1047124065803855872'),122.25563,27.895076,41.1,1.51153,0.000226,0,'QSO','BROADLINE'
1190,52670,222,'26',Decimal('1339881956833257472'),132.87781,4.70593,24.24,0.913347,0.000263,0,'QSO','BROADLINE'
1585,52962,34,'26',Decimal('1784560747888535552'),125.92117,24.3015,28.12,1.81161,0.000231,0,'QSO','BROADLINE'
1735,53035,407,'26',Decimal('1953548264598956032'),114.3983,43.147552,35.94,0.116651,1.70E-05,0,'QSO','BROADLINE'
1736,53052,62,'26',Decimal('1954579331913115648'),116.74924,44.124668,25.52,0.07576,3.20E-05,0,'QSO','STARBURST BROADLINE'
1736,53052,75,'26',Decimal('1954582905325905920'),116.62753,44.075978,22.74,0.193555,8.00E-06,0,'GALAXY','STARBURST'
1736,53052,318,'26',Decimal('1954649700657293312'),114.16193,43.88792,25.05,0.113959,9.00E-06,0,'GALAXY','AGN BROADLINE'
1736,53052,577,'26',Decimal('1954720894035191808'),116.49835,45.076214,18.6,0.120154,2.00E-05,0,'QSO','AGN BROADLINE'
1736,53052,603,'26',Decimal('1954728040860772352'),117.26351,45.348217,15.93,0.200994,3.80E-05,0,'QSO','STARBURST BROADLINE'
1737,53055,119,'26',Decimal('1955720899910985728'),118.18416,45.949273,47.82,0.051695,9.00E-06,0,'GALAXY','AGN'
1737,53055,407,'26',Decimal('1955800064748185600'),117.3116,47.484466,34.98,2.03975,0.000209,0,'QSO','BROADLINE'
1780,53090,283,'26',Decimal('2004179676469159936'),120.15006,50.17897,33.72,1.62086,0.000253,0,'QSO','BROADLINE'
1781,53297,514,'26',Decimal('2005369076645390336'),123.75772,52.882083,36.09,0.124448,2.50E-05,0,'QSO','BROADLINE'
1867,53317,618,'26',Decimal('2102225056271722496'),116.34078,47.576734,44.25,3.21417,0.000235,16,'QSO','BROADLINE'
1869,53327,169,'26',Decimal('2104353436072962048'),118.44553,51.006813,26.68,1.07009,0.000182,0,'QSO','BROADLINE'
1869,53327,305,'26',Decimal('2104390819468306432'),115.95985,50.706633,23.65,1.39541,0.000254,0,'QSO','BROADLINE'
1870,53383,83,'26',Decimal('2105455697419331584'),120.32414,52.176277,29.34,3.21727,0.000229,0,'QSO','BROADLINE'
1872,53386,359,'26',Decimal('2107783363585665024'),121.71708,56.736889,39.56,0.180642,3.20E-05,0,'QSO','STARBURST BROADLINE'
1926,53317,165,'26',Decimal('2168528631083591680'),124.39615,22.621601,31.95,0.98022,0.000136,0,'QSO','BROADLINE'
